loan_amnt,purpose,revenue,dti_n,fico_n,home_ownership_n,emp_length_n,Default
10000,credit_card,70000,16.84,702,MORTGAGE,9,0
10000,credit_card,43000,16.83,662,MORTGAGE,10,1
10000,credit_card,24000,16.7,707,OWN,0,0
10000,credit_card,40000,16.62,712,MORTGAGE,0,1
10000,credit_card,120000,16.58,682,RENT,8,0
10000,credit_card,60000,16.56,727,OWN,3,0
10000,credit_card,72500,16.47,672,MORTGAGE,6,0
10000,credit_card,50000,16.46,662,MORTGAGE,6,0
10000,credit_card,72000,16.17,677,OWN,11,0
10000,credit_card,128000,16.02,712,MORTGAGE,2,0
10000,credit_card,45000,16,677,RENT,8,1
10000,credit_card,36334,15.98,672,RENT,11,0
10000,credit_card,49000,15.97,692,MORTGAGE,0,0
10000,credit_card,36000,15.73,672,RENT,2,0
10000,credit_card,30000,15.72,682,MORTGAGE,1,1
10000,credit_card,61000,15.64,722,OWN,3,0
10000,credit_card,69245,15.63,702,MORTGAGE,3,0
10000,credit_card,65000,15.53,662,MORTGAGE,11,0
10000,credit_card,50900,15.31,667,RENT,9,0
10000,credit_card,105000,15.3,682,MORTGAGE,5,1
10000,credit_card,130000,15.27,677,RENT,7,0
10000,credit_card,78000,15.16,802,OWN,11,0
10000,credit_card,100000,15.07,707,RENT,1,0
10000,credit_card,50000,15.05,767,MORTGAGE,11,0
10000,credit_card,135000,14.73,702,RENT,10,0
10000,credit_card,90000,14.73,672,RENT,3,0
10000,credit_card,190000,14.63,682,MORTGAGE,11,0
10000,credit_card,55482,14.57,692,OWN,11,1
10000,credit_card,60000,14.5,827,MORTGAGE,11,0
10000,credit_card,65000,14.42,667,MORTGAGE,11,0
10000,credit_card,45000,14.4,707,RENT,3,0
10000,credit_card,60000,14.3,697,MORTGAGE,11,0
10000,credit_card,33000,14.15,717,MORTGAGE,7,1
10000,credit_card,90000,13.87,707,MORTGAGE,7,0
10000,credit_card,32000,13.8,667,RENT,1,0
10000,credit_card,59500,13.72,707,RENT,7,0
10000,credit_card,41600,13.65,727,RENT,2,0
10000,credit_card,84000,13.61,682,RENT,3,0
10000,credit_card,50000,13.37,677,MORTGAGE,2,1
10000,credit_card,116000,13.3,692,MORTGAGE,11,0
10000,credit_card,75000,13.3,687,RENT,1,0
10000,credit_card,72000,13.16,662,MORTGAGE,11,0
10000,credit_card,70000,13.13,662,MORTGAGE,4,0
10000,credit_card,25000,12.91,682,OWN,1,0
10000,credit_card,150000,12.81,687,MORTGAGE,1,0
10000,credit_card,47000,12.64,667,RENT,1,0
10000,credit_card,65000,12.62,787,MORTGAGE,11,0
10000,credit_card,95400,12.36,682,MORTGAGE,2,0
10000,credit_card,56000,12.34,712,OWN,6,0
10000,credit_card,50000,12.31,682,MORTGAGE,9,0
10000,credit_card,100000,12.25,712,RENT,3,0
10000,credit_card,110000,12.18,667,RENT,1,0
10000,credit_card,65000,12.09,672,RENT,11,0
10000,credit_card,55000,11.81,782,OWN,11,0
10000,credit_card,33000,11.78,692,RENT,1,0
10000,credit_card,35000,11.69,672,RENT,8,0
10000,credit_card,98000,11.65,692,RENT,8,0
10000,credit_card,130000,11.43,707,MORTGAGE,11,0
10000,credit_card,63000,11.09,667,RENT,0,1
10000,credit_card,55000,11.02,667,MORTGAGE,1,0
10000,credit_card,70000,10.99,677,MORTGAGE,11,0
10000,credit_card,37000,10.96,747,RENT,3,0
10000,credit_card,61000,10.9,672,MORTGAGE,11,0
10000,credit_card,75000,10.86,732,OWN,3,1
10000,credit_card,40200,10.66,697,OWN,0,0
10000,credit_card,50000,10.59,687,RENT,8,1
10000,credit_card,70000,10.51,717,MORTGAGE,6,0
10000,credit_card,78000,10.42,667,RENT,2,1
10000,credit_card,70000,10.32,682,MORTGAGE,11,0
10000,credit_card,55000,10.21,682,OWN,11,0
10000,credit_card,115000,10.16,707,MORTGAGE,11,0
10000,credit_card,85000,10.14,662,RENT,3,0
10000,credit_card,120000,10.12,697,MORTGAGE,9,0
10000,credit_card,85600,10.07,662,MORTGAGE,5,0
10000,credit_card,55000,9.99,727,MORTGAGE,9,0
10000,credit_card,30000,9.6,697,RENT,4,0
10000,credit_card,30000,9.52,667,RENT,10,0
10000,credit_card,110000,9.48,702,MORTGAGE,11,0
10000,credit_card,75000,9.36,667,MORTGAGE,4,0
10000,credit_card,120000,9.32,687,RENT,2,0
10000,credit_card,100000,9.17,692,RENT,1,0
10000,credit_card,42000,9.09,707,RENT,4,0
10000,credit_card,185000,9.08,707,MORTGAGE,11,0
10000,credit_card,160000,9.08,747,MORTGAGE,1,0
10000,credit_card,55000,9.08,677,RENT,5,0
10000,credit_card,80000,9.03,722,RENT,4,0
10000,credit_card,70000,9.01,697,RENT,1,0
10000,credit_card,88000,8.99,662,MORTGAGE,1,0
10000,credit_card,59400,8.97,672,RENT,2,0
10000,credit_card,53000,8.92,692,OWN,11,0
10000,credit_card,73700,8.9,787,RENT,11,0
10000,credit_card,155000,8.46,742,MORTGAGE,6,0
10000,credit_card,89100,8.39,757,RENT,6,0
10000,credit_card,87000,8.28,687,OWN,11,0
10000,credit_card,50000,8.28,732,MORTGAGE,4,0
10000,credit_card,100000,8.21,667,RENT,6,0
10000,credit_card,111000,7.98,697,MORTGAGE,6,0
10000,credit_card,165000,7.73,737,MORTGAGE,11,0
10000,credit_card,45000,7.25,672,MORTGAGE,11,1
10000,credit_card,38500,7.17,672,RENT,4,1
10000,credit_card,120000,7.13,772,RENT,4,0
10000,credit_card,41000,7,687,RENT,1,0
10000,credit_card,40000,6.93,677,RENT,7,0
10000,credit_card,92000,6.79,667,RENT,2,0
10000,credit_card,60000,6.7,662,RENT,2,0
10000,credit_card,39106.1,6.45,737,OWN,8,0
10000,credit_card,50000,6.29,667,MORTGAGE,1,0
10000,credit_card,70000,6.14,662,RENT,5,0
10000,credit_card,50000,6.02,662,OWN,11,0
10000,credit_card,140000,5.91,672,MORTGAGE,5,1
10000,credit_card,97000,5.67,687,RENT,0,0
10000,credit_card,40000,5.61,692,RENT,6,1
10000,credit_card,52000,5.45,667,RENT,10,0
10000,credit_card,90000,5.37,667,MORTGAGE,11,0
10000,credit_card,115000,5.01,687,RENT,4,0
10000,credit_card,40000,4.98,697,RENT,1,0
10000,credit_card,26500,4.76,687,RENT,1,1
10000,credit_card,88000,4.36,707,RENT,5,0
10000,credit_card,100000,4.2,717,RENT,1,0
10000,credit_card,84500,4.12,682,OWN,0,1
10000,credit_card,45000,4.03,672,MORTGAGE,11,0
10000,credit_card,63000,3.9,667,MORTGAGE,11,0
10000,credit_card,117000,2.94,682,MORTGAGE,4,0
10000,credit_card,68000,2.84,702,RENT,4,0
10000,credit_card,80000,2.06,702,MORTGAGE,0,0
9800,credit_card,44720,42.51,707,MORTGAGE,2,0
9800,credit_card,31000,21.8,702,MORTGAGE,0,1
9800,credit_card,65000,7.92,662,OWN,11,0
9700,credit_card,43335,21.35,697,RENT,5,1
9650,credit_card,39841,47.29,662,MORTGAGE,5,1
9600,credit_card,42000,32.03,677,RENT,11,0
9600,credit_card,40000,28.75,687,MORTGAGE,10,0
9600,credit_card,60000,28.3,682,RENT,7,0
9600,credit_card,60000,23.4,697,MORTGAGE,5,1
9600,credit_card,30000,22.24,702,RENT,3,1
9600,credit_card,57000,22.08,662,MORTGAGE,0,0
9600,credit_card,52000,21.63,662,RENT,1,0
9600,credit_card,39000,21.63,672,MORTGAGE,11,1
9600,credit_card,30000,18.8,702,MORTGAGE,11,0
9600,credit_card,54682,18.66,677,MORTGAGE,5,0
9600,credit_card,90000,17.24,732,RENT,3,0
9600,credit_card,70000,16.89,667,RENT,11,0
9600,credit_card,99000,16.67,692,MORTGAGE,6,0
9600,credit_card,61000,15.92,667,RENT,3,0
9600,credit_card,90000,15.4,692,OWN,7,0
9600,credit_card,115000,15.14,712,RENT,7,0
9600,credit_card,65000,14.94,662,MORTGAGE,5,0
9600,credit_card,60000,14.8,677,MORTGAGE,2,0
9600,credit_card,52000,12.32,682,MORTGAGE,8,0
9600,credit_card,54000,12.31,677,MORTGAGE,0,1
9600,credit_card,43000,11.53,737,OWN,11,0
9600,credit_card,145000,10.8,682,MORTGAGE,8,0
9600,credit_card,36000,10.1,692,RENT,0,1
9600,credit_card,72000,9.6,752,RENT,6,0
9600,credit_card,52000,4.75,682,MORTGAGE,1,1
9550,credit_card,40000,31.11,682,RENT,9,0
9500,credit_card,104000,21.79,672,MORTGAGE,10,0
9500,credit_card,145000,1.44,707,MORTGAGE,10,0
9475,credit_card,225000,15.98,717,OWN,3,1
9450,credit_card,70000,11.86,752,RENT,2,0
9400,credit_card,30228,9.45,767,MORTGAGE,0,0
9275,credit_card,52000,30.42,702,MORTGAGE,11,1
9225,credit_card,21000,18.69,662,RENT,0,1
9175,credit_card,44200,32.26,692,RENT,7,0
9125,credit_card,40000,15.8,692,RENT,11,1
9100,credit_card,156000,10.08,697,RENT,3,0
9100,credit_card,76275,8.92,697,MORTGAGE,11,0
9000,credit_card,68000,34.73,757,MORTGAGE,0,0
9000,credit_card,115000,32.11,742,OWN,0,0
9000,credit_card,34000,31.89,662,OWN,8,0
9000,credit_card,60000,30.18,712,RENT,3,0
9000,credit_card,140000,29.83,742,OWN,7,0
9000,credit_card,53000,29.53,707,RENT,11,0
9000,credit_card,25000,28.9,682,RENT,4,0
9000,credit_card,54000,28.6,662,RENT,10,1
9000,credit_card,35000,27.09,667,MORTGAGE,5,0
9000,credit_card,55000,25.83,707,MORTGAGE,11,0
9000,credit_card,35000,25.72,692,RENT,1,0
9000,credit_card,55170,22.23,672,RENT,3,0
9000,credit_card,49000,21.63,757,MORTGAGE,11,0
9000,credit_card,72000,21.4,722,MORTGAGE,7,0
9000,credit_card,52000,21.28,672,OWN,2,0
9000,credit_card,90350,21.14,747,OWN,9,0
9000,credit_card,42000,20.33,702,RENT,11,0
9000,credit_card,75000,18.14,667,OWN,9,0
9000,credit_card,84000,18.03,727,MORTGAGE,8,0
9000,credit_card,50000,17.64,672,MORTGAGE,4,0
9000,credit_card,65000,17.37,677,RENT,4,1
9000,credit_card,105000,17.19,682,MORTGAGE,5,0
9000,credit_card,53000,15.85,712,RENT,11,0
9000,credit_card,74000,15.54,672,RENT,4,0
9000,credit_card,55000,14.55,717,RENT,11,0
9000,credit_card,92000,13.76,777,MORTGAGE,11,0
9000,credit_card,65000,13.63,707,RENT,11,0
9000,credit_card,65000,13.28,672,RENT,11,0
9000,credit_card,49000,13.2,672,RENT,1,1
9000,credit_card,46300,13.17,712,RENT,2,0
9000,credit_card,65000,12.87,677,MORTGAGE,2,0
9000,credit_card,50000,12.29,677,RENT,3,1
9000,credit_card,152000,10.91,692,MORTGAGE,1,0
9000,credit_card,42000,8.54,677,RENT,11,0
9000,credit_card,104000,8.33,677,RENT,11,0
9000,credit_card,155000,7.84,767,MORTGAGE,6,0
9000,credit_card,29120,7.42,752,OWN,1,0
9000,credit_card,50000,6.6,767,RENT,2,0
9000,credit_card,70000,3.29,742,RENT,10,0
9000,credit_card,54000,3,667,MORTGAGE,5,0
8975,credit_card,30000,9.48,707,RENT,1,0
8875,credit_card,18732,37.16,667,OWN,0,0
8800,credit_card,53868,35.24,677,RENT,0,0
8800,credit_card,89000,21.36,672,MORTGAGE,2,0
8800,credit_card,42000,19.43,667,MORTGAGE,11,0
8800,credit_card,55000,9.34,677,RENT,2,0
8800,credit_card,71000,9.25,702,RENT,11,0
8800,credit_card,80000,4.41,692,RENT,11,0
8800,credit_card,89000,3.51,672,RENT,11,0
8725,credit_card,60000,32.78,737,MORTGAGE,11,0
8650,credit_card,56000,68.64,682,MORTGAGE,6,0
8600,credit_card,86000,23.83,702,MORTGAGE,11,0
8600,credit_card,150000,10.81,692,RENT,3,0
8600,credit_card,90000,8.32,682,MORTGAGE,9,0
8575,credit_card,19500,17.19,737,RENT,6,0
8550,credit_card,62000,16.55,677,MORTGAGE,11,1
8500,credit_card,44054,34.46,672,RENT,9,0
8500,credit_card,41000,29.59,667,RENT,1,1
8500,credit_card,58000,22.18,697,RENT,4,0
8500,credit_card,30000,21.76,732,OWN,11,0
8500,credit_card,130000,21.19,697,RENT,5,0
8500,credit_card,37000,19.62,702,MORTGAGE,6,0
8500,credit_card,38000,19.08,702,OWN,3,0
8500,credit_card,85000,17.42,672,RENT,11,1
8500,credit_card,45000,16.43,702,MORTGAGE,2,0
8500,credit_card,68640,15.16,687,RENT,7,0
8500,credit_card,36500,12.56,687,RENT,2,0
8500,credit_card,120000,11.5,757,MORTGAGE,11,0
8500,credit_card,75000,10.11,697,OWN,11,0
8500,credit_card,35000,9.57,692,MORTGAGE,5,0
8500,credit_card,105000,8.23,672,RENT,2,0
8500,credit_card,35000,7.41,727,RENT,0,0
8500,credit_card,165000,5.2,662,RENT,4,0
8425,credit_card,50000,29.36,667,RENT,6,0
8400,credit_card,40000,38.01,697,RENT,3,0
8400,credit_card,36876,29.29,697,RENT,1,0
8400,credit_card,60000,28.38,677,RENT,1,0
8400,credit_card,30160,27.38,717,MORTGAGE,3,0
8400,credit_card,65000,25.61,697,MORTGAGE,11,1
8400,credit_card,55000,21.92,722,RENT,3,0
8400,credit_card,50000,21.46,677,RENT,3,1
8400,credit_card,83500,21,792,OWN,1,0
8400,credit_card,85000,18.59,707,MORTGAGE,6,0
8400,credit_card,40000,15.15,702,RENT,9,0
8400,credit_card,47000,13.71,692,RENT,6,0
8400,credit_card,97000,12.26,692,MORTGAGE,6,0
8400,credit_card,25000,5.33,692,OWN,2,1
8275,credit_card,32000,38.56,717,RENT,10,0
8275,credit_card,33000,29.2,687,RENT,11,1
8275,credit_card,23000,15.66,667,RENT,8,0
8225,credit_card,60000,27.89,737,MORTGAGE,3,0
8200,credit_card,71000,36.65,717,MORTGAGE,0,0
8200,credit_card,70720,16.92,687,OWN,1,0
8200,credit_card,48000,15.2,672,RENT,4,0
8050,credit_card,75000,30.96,707,OWN,8,0
8000,credit_card,41160,58.16,682,MORTGAGE,0,0
8000,credit_card,22560,39.84,697,RENT,0,0
8000,credit_card,170000,38.89,702,RENT,8,1
8000,credit_card,58240,37.84,677,RENT,3,0
8000,credit_card,150000,36.44,747,MORTGAGE,11,0
8000,credit_card,33920,34.93,697,RENT,6,1
8000,credit_card,40600,32.38,762,OWN,11,1
8000,credit_card,40000,30.03,712,OWN,2,0
8000,credit_card,18000,29.73,687,OWN,11,0
8000,credit_card,56000,29.23,677,RENT,1,0
8000,credit_card,60000,29,692,OWN,11,0
8000,credit_card,43000,28.22,707,RENT,6,0
8000,credit_card,42000,28,687,MORTGAGE,2,0
8000,credit_card,41500,26.37,692,MORTGAGE,5,0
8000,credit_card,110000,26.14,667,OWN,11,0
8000,credit_card,60000,26.14,717,MORTGAGE,8,0
8000,credit_card,40000,26.01,752,MORTGAGE,3,0
8000,credit_card,77250,25.73,672,MORTGAGE,11,0
8000,credit_card,74000,25.66,707,MORTGAGE,7,0
8000,credit_card,55000,25.51,662,RENT,3,0
8000,credit_card,115000,25.28,682,MORTGAGE,7,0
8000,credit_card,72000,25.12,732,MORTGAGE,6,0
8000,credit_card,25000,24.49,677,RENT,1,0
8000,credit_card,30476,24.46,667,RENT,0,0
8000,credit_card,84000,24.11,747,MORTGAGE,9,0
8000,credit_card,45000,23.76,697,MORTGAGE,4,1
8000,credit_card,52000,23.24,742,MORTGAGE,11,0
8000,credit_card,35820,22.48,667,MORTGAGE,0,0
8000,credit_card,42000,22.46,707,RENT,5,0
8000,credit_card,200000,22.21,702,MORTGAGE,11,0
8000,credit_card,25000,21.8,717,OWN,8,0
8000,credit_card,175000,21.74,667,MORTGAGE,3,0
8000,credit_card,60000,21.08,682,RENT,11,1
8000,credit_card,48600,20.79,727,MORTGAGE,11,0
8000,credit_card,95000,20.78,697,MORTGAGE,7,0
8000,credit_card,38000,20.52,722,RENT,4,0
8000,credit_card,60000,20.44,737,MORTGAGE,6,0
8000,credit_card,57726,20.31,712,OWN,8,0
8000,credit_card,50000,20.26,697,MORTGAGE,11,0
8000,credit_card,55000,20.18,667,RENT,1,1
8000,credit_card,55000,20.12,712,RENT,2,0
8000,credit_card,140000,20.05,677,MORTGAGE,11,0
8000,credit_card,36000,19.87,687,MORTGAGE,5,0
8000,credit_card,35000,19.75,717,RENT,2,0
8000,credit_card,59000,19.73,702,MORTGAGE,3,0
8000,credit_card,65000,19.65,677,MORTGAGE,11,0
8000,credit_card,108000,19.27,677,MORTGAGE,5,0
8000,credit_card,32000,19.2,682,MORTGAGE,0,0
8000,credit_card,78000,19.17,697,MORTGAGE,8,0
8000,credit_card,63000,19.03,662,MORTGAGE,3,0
8000,credit_card,34000,18.53,677,MORTGAGE,0,1
8000,credit_card,41688,18.39,757,MORTGAGE,11,0
8000,credit_card,45000,18.13,662,RENT,4,0
8000,credit_card,39000,17.84,692,RENT,3,0
8000,credit_card,65000,17.8,682,RENT,3,0
8000,credit_card,52000,17.5,702,MORTGAGE,1,0
8000,credit_card,50000,17.4,687,RENT,11,0
8000,credit_card,30000,17.28,662,RENT,2,0
8000,credit_card,53000,17.26,712,RENT,0,0
8000,credit_card,80000,17.21,677,RENT,2,0
8000,credit_card,75000,16.85,682,RENT,11,1
8000,credit_card,59000,16.78,667,RENT,11,0
8000,credit_card,36000,16.73,677,MORTGAGE,1,0
8000,credit_card,54000,16.71,682,RENT,2,0
8000,credit_card,90000,16.64,667,MORTGAGE,6,0
8000,credit_card,45000,16.53,677,OWN,9,0
8000,credit_card,55000,16.39,712,MORTGAGE,5,0
8000,credit_card,42000,16.37,697,RENT,2,0
8000,credit_card,50190,16.21,707,MORTGAGE,11,0
8000,credit_card,50000,15.94,687,RENT,7,1
8000,credit_card,70000,15.4,667,MORTGAGE,7,0
8000,credit_card,38499,15.4,762,RENT,1,0
8000,credit_card,40000,14.73,667,MORTGAGE,11,1
8000,credit_card,88000,14.5,677,MORTGAGE,3,0
8000,credit_card,48000,14.49,672,MORTGAGE,4,0
8000,credit_card,55000,14.01,682,RENT,1,1
8000,credit_card,53000,13.68,672,MORTGAGE,1,0
8000,credit_card,37000,13.53,707,MORTGAGE,11,0
8000,credit_card,45000,13.22,682,MORTGAGE,1,0
8000,credit_card,33000,12.36,662,RENT,1,0
8000,credit_card,57000,12.29,712,OWN,11,0
8000,credit_card,300000,12.23,767,MORTGAGE,9,0
8000,credit_card,85000,11.68,742,RENT,9,0
8000,credit_card,153000,11.65,662,MORTGAGE,4,0
8000,credit_card,84000,11.48,717,RENT,6,0
8000,credit_card,58000,11.36,717,RENT,0,0
8000,credit_card,70000,11.22,727,RENT,9,1
8000,credit_card,50000,10.47,707,MORTGAGE,11,0
8000,credit_card,98000,10.36,677,RENT,11,0
8000,credit_card,50000,10.3,662,MORTGAGE,11,0
8000,credit_card,36000,9.2,682,RENT,1,0
8000,credit_card,70000,8.92,707,RENT,8,0
8000,credit_card,76000,8.61,712,RENT,3,0
8000,credit_card,60000,8.47,747,MORTGAGE,3,0
8000,credit_card,96000,8.35,707,MORTGAGE,7,0
8000,credit_card,35000,7.51,737,OWN,3,0
8000,credit_card,63000,7.22,732,MORTGAGE,4,1
8000,credit_card,67000,7.18,687,MORTGAGE,9,0
8000,credit_card,56000,4.08,727,RENT,1,0
8000,credit_card,51000,1.58,692,RENT,11,0
8000,credit_card,225000,1.52,702,MORTGAGE,4,0
7925,credit_card,30000,11.92,682,RENT,11,0
7900,credit_card,51000,26.33,697,OWN,11,1
7800,credit_card,86000,31.73,687,MORTGAGE,11,0
7800,credit_card,62400,25.27,672,MORTGAGE,7,1
7800,credit_card,40166,24.44,767,MORTGAGE,11,0
7800,credit_card,86000,13.01,817,MORTGAGE,7,0
7800,credit_card,87000,5.39,662,MORTGAGE,9,0
7750,credit_card,23124,11.11,787,OWN,0,0
7750,credit_card,55000,6.59,707,RENT,5,0
7575,credit_card,27000,16.31,662,RENT,3,0
7550,credit_card,50000,25.37,662,RENT,11,0
7550,credit_card,72000,9.15,792,RENT,4,0
7500,credit_card,50000,27.24,752,MORTGAGE,1,0
7500,credit_card,38000,25.11,677,MORTGAGE,9,0
7500,credit_card,45000,23.92,687,MORTGAGE,11,0
7500,credit_card,58000,23.89,697,RENT,6,0
7500,credit_card,58588,23.62,697,RENT,1,0
7500,credit_card,21600,21.83,697,RENT,2,1
7500,credit_card,85000,21.64,662,MORTGAGE,10,0
7500,credit_card,22500,20.72,707,OWN,0,0
7500,credit_card,44000,20.29,667,RENT,3,0
7500,credit_card,50000,18.75,672,MORTGAGE,4,0
7500,credit_card,38000,18.7,667,RENT,6,0
7500,credit_card,44000,18.49,697,RENT,1,0
7500,credit_card,42000,18,667,RENT,11,1
7500,credit_card,51000,17.08,672,RENT,7,0
7500,credit_card,35000,16.29,727,MORTGAGE,10,0
7500,credit_card,88151.33,13.53,712,RENT,10,0
7500,credit_card,47567,12.34,662,MORTGAGE,11,1
7500,credit_card,120000,11.4,682,RENT,7,0
7500,credit_card,75000,11.28,667,RENT,11,0
7500,credit_card,70000,10.15,667,RENT,11,0
7500,credit_card,30000,9.52,672,OWN,4,0
7500,credit_card,38000,9.19,702,RENT,10,1
7500,credit_card,50000,7.49,677,RENT,2,1
7475,credit_card,17000,20.27,687,RENT,1,0
7475,credit_card,17000,17.44,682,RENT,0,0
7450,credit_card,42400,14.97,672,RENT,9,0
7425,credit_card,36000,29.8,747,MORTGAGE,11,0
7425,credit_card,34000,28.27,682,MORTGAGE,3,1
7425,credit_card,45000,26.77,667,MORTGAGE,9,0
7425,credit_card,62400,17.17,697,RENT,11,0
7400,credit_card,100000,27.19,677,MORTGAGE,2,0
7300,credit_card,51000,17.86,662,RENT,3,1
7250,credit_card,45000,12.11,747,RENT,4,0
7200,credit_card,57000,34.42,717,RENT,11,0
7200,credit_card,30000,32.88,697,RENT,10,1
7200,credit_card,32000,32.45,677,MORTGAGE,11,0
7200,credit_card,60000,30.64,682,MORTGAGE,3,0
7200,credit_card,105000,25.39,777,MORTGAGE,10,0
7200,credit_card,50000,23.4,692,RENT,1,1
7200,credit_card,45000,23.3,672,RENT,2,1
7200,credit_card,70000,22.61,702,MORTGAGE,11,1
7200,credit_card,40000,22.14,667,MORTGAGE,11,1
7200,credit_card,60000,21.92,667,RENT,2,1
7200,credit_card,40000,20.85,677,MORTGAGE,1,0
7200,credit_card,35000,19.89,682,RENT,4,0
7200,credit_card,24000,19.83,787,OWN,0,0
7200,credit_card,40000,18.72,697,OWN,9,0
7200,credit_card,75000,17.9,732,RENT,4,0
7200,credit_card,65000,17.89,692,RENT,11,0
7200,credit_card,63000,14.25,662,RENT,5,0
7200,credit_card,98000,10.41,697,RENT,1,0
7200,credit_card,52000,9.58,662,OWN,11,0
7200,credit_card,50000,7.95,697,OWN,1,0
7200,credit_card,112000,7.03,672,MORTGAGE,11,0
7200,credit_card,89000,3.59,727,OWN,0,0
7200,credit_card,68000,2.42,702,MORTGAGE,9,0
7175,credit_card,25150,27.78,702,RENT,3,0
7125,credit_card,59000,3.05,677,RENT,7,0
7100,credit_card,53000,16.4,742,RENT,2,0
7100,credit_card,85000,11.63,677,MORTGAGE,2,1
7100,credit_card,30000,10.6,712,RENT,6,1
7050,credit_card,40000,34.65,672,RENT,2,0
7000,credit_card,45000,33.92,687,MORTGAGE,8,0
7000,credit_card,48000,32.63,667,MORTGAGE,2,0
7000,credit_card,45000,29.52,702,RENT,11,0
7000,credit_card,67000,28.87,692,MORTGAGE,11,0
7000,credit_card,22000,28.37,682,OWN,7,0
7000,credit_card,34000,28.06,692,MORTGAGE,11,0
7000,credit_card,70530,27.68,672,MORTGAGE,6,0
7000,credit_card,72000,25.37,722,RENT,9,0
7000,credit_card,24000,24.7,782,RENT,2,0
7000,credit_card,30000,23.76,697,RENT,1,0
7000,credit_card,32000,23.24,672,MORTGAGE,5,0
7000,credit_card,95000,23.22,727,MORTGAGE,8,0
7000,credit_card,56000,22.22,687,MORTGAGE,11,0
7000,credit_card,55000,21.83,732,RENT,3,0
7000,credit_card,52000,21.49,692,RENT,1,0
7000,credit_card,45000,20.38,672,RENT,2,0
7000,credit_card,50000,20.26,667,RENT,3,0
7000,credit_card,34500,19.67,662,MORTGAGE,11,0
7000,credit_card,30000,19.44,662,RENT,1,0
7000,credit_card,35000,19.12,662,RENT,5,1
7000,credit_card,45000,18.85,702,RENT,11,0
7000,credit_card,43000,18.36,732,MORTGAGE,11,0
7000,credit_card,115300,18.11,677,OWN,9,0
7000,credit_card,60000,18.1,697,MORTGAGE,11,0
7000,credit_card,65000,17.41,682,MORTGAGE,11,0
7000,credit_card,160000,17.39,702,OWN,11,0
7000,credit_card,20000,17.05,677,MORTGAGE,1,0
7000,credit_card,42000,16.54,757,OWN,7,0
7000,credit_card,76500,16.36,697,MORTGAGE,11,0
7000,credit_card,84655,16.19,787,MORTGAGE,11,0
7000,credit_card,45000,15.22,702,MORTGAGE,7,0
7000,credit_card,20000,15.13,702,MORTGAGE,11,0
7000,credit_card,39000,14.95,707,MORTGAGE,8,0
7000,credit_card,55000,14.86,692,MORTGAGE,6,0
7000,credit_card,115000,14.81,677,RENT,3,0
7000,credit_card,105000,14.52,662,RENT,1,0
7000,credit_card,38500,14.25,737,RENT,1,0
7000,credit_card,26000,13.2,662,RENT,4,0
7000,credit_card,110000,13.16,662,MORTGAGE,7,0
7000,credit_card,22000,12.88,682,RENT,9,0
7000,credit_card,52000,12.85,682,RENT,2,0
7000,credit_card,35000,12.76,677,MORTGAGE,4,0
7000,credit_card,47000,12.67,697,RENT,5,0
7000,credit_card,70000,12.38,712,OWN,9,0
7000,credit_card,100000,12.13,662,MORTGAGE,11,0
7000,credit_card,73000,12.07,677,MORTGAGE,5,0
7000,credit_card,48000,11.33,767,RENT,7,0
7000,credit_card,25000,11.04,672,RENT,11,0
7000,credit_card,70000,9.26,672,RENT,6,0
7000,credit_card,24000,9.2,667,RENT,0,0
7000,credit_card,53000,9.08,677,RENT,5,0
7000,credit_card,193000,9.05,767,MORTGAGE,0,0
7000,credit_card,21000,9.03,672,RENT,1,0
7000,credit_card,35000,8.47,667,OWN,2,0
7000,credit_card,85000,7.44,667,RENT,2,0
7000,credit_card,41360,6.62,672,RENT,11,0
7000,credit_card,52000,6.32,667,MORTGAGE,7,0
7000,credit_card,60000,5.14,677,RENT,11,0
7000,credit_card,65000,4.56,712,OWN,11,0
7000,credit_card,72000,3.85,687,MORTGAGE,11,0
7000,credit_card,70000,2.64,672,RENT,2,0
6975,credit_card,23000,25.57,682,MORTGAGE,0,0
6900,credit_card,20312,33.49,677,OWN,11,0
6800,credit_card,20000,23.17,672,OWN,4,1
6800,credit_card,46000,15.26,677,OWN,8,0
6800,credit_card,40000,14.76,667,MORTGAGE,10,0
6750,credit_card,96350,24.2,717,MORTGAGE,11,0
6725,credit_card,25000,30.05,677,RENT,3,0
6700,credit_card,38022.4,41.92,697,RENT,2,0
6700,credit_card,42000,29.69,717,MORTGAGE,5,0
6700,credit_card,47000,11.86,677,RENT,3,0
6650,credit_card,90000,8.34,662,RENT,2,1
6625,credit_card,39000,21.11,692,MORTGAGE,3,0
6600,credit_card,70000,20.71,667,MORTGAGE,11,0
6600,credit_card,61000,14.3,662,RENT,3,1
6525,credit_card,22000,29.35,672,MORTGAGE,8,0
6500,credit_card,50000,30.68,727,MORTGAGE,11,0
6500,credit_card,40000,29.7,692,RENT,3,0
6500,credit_card,27000,25.16,677,RENT,11,1
6500,credit_card,50000,23.24,677,RENT,11,0
6500,credit_card,70663,22.79,687,RENT,2,0
6500,credit_card,47000,21.5,702,RENT,9,0
6500,credit_card,50000,21.27,682,RENT,2,0
6500,credit_card,41000,18.74,717,RENT,2,0
6500,credit_card,63000,13.58,672,RENT,2,0
6500,credit_card,60000,13.5,687,RENT,11,1
6500,credit_card,25000,11.76,682,OWN,11,0
